iter	Passed	Remaining
0	2	2755
1	5	2861
2	8	2933
3	11	2936
4	15	3083
5	19	3278
6	22	3220
7	25	3188
8	28	3172
9	33	3306
10	36	3269
11	39	3242
12	42	3203
13	45	3209
14	52	3475
15	55	3442
16	58	3403
17	61	3368
18	65	3381
19	70	3460
20	75	3502
21	79	3515
22	82	3524
23	87	3560
24	90	3532
25	94	3528
26	97	3519
27	100	3490
28	103	3464
29	106	3442
30	110	3442
31	114	3476
32	117	3457
33	120	3431
34	123	3413
35	127	3423
36	130	3401
37	135	3425
38	139	3431
39	145	3496
40	161	3777
41	167	3822
42	173	3859
43	177	3865
44	187	3975
45	209	4344
46	216	4387
47	230	4574
48	253	4924
49	290	5520
50	297	5535
51	303	5526
52	308	5509
53	313	5493
54	331	5687
55	392	6612
56	413	6836
57	426	6922
58	430	6872
59	436	6843
60	440	6786
61	446	6756
62	451	6721
63	455	6663
64	459	6611
65	464	6566
66	469	6538
67	472	6478
68	475	6420
69	479	6364
70	486	6371
71	489	6314
72	492	6257
73	496	6212
74	500	6169
75	503	6121
76	507	6080
77	511	6049
78	515	6015
79	519	5970
80	522	5926
81	525	5882
82	531	5872
83	535	5836
84	538	5798
85	542	5762
86	545	5722
87	548	5682
88	550	5638
89	553	5595
90	555	5552
91	559	5519
92	562	5486
93	565	5450
94	568	5416
95	571	5383
96	576	5367
97	579	5332
98	581	5296
99	584	5259
100	586	5224
101	589	5192
102	593	5165
103	596	5135
104	598	5104
105	601	5070
106	603	5037
107	607	5017
108	610	4993
109	613	4965
110	616	4934
111	618	4903
112	620	4873
113	624	4852
114	626	4824
115	629	4799
116	633	4777
117	636	4760
118	639	4736
119	642	4709
120	644	4683
121	647	4657
122	650	4634
123	652	4609
124	656	4592
125	658	4569
126	661	4544
127	663	4520
128	666	4500
129	669	4483
130	682	4524
131	684	4501
132	688	4485
133	690	4464
134	693	4441
135	696	4425
136	700	4414
137	705	4404
138	708	4386
139	711	4367
140	713	4348
141	716	4328
142	720	4316
143	723	4301
144	726	4283
145	730	4271
146	733	4255
147	736	4240
148	739	4223
149	742	4209
150	747	4202
151	750	4186
152	754	4176
153	756	4157
154	759	4142
155	762	4126
156	765	4108
157	768	4097
158	772	4084
159	774	4068
160	777	4050
161	779	4033
162	782	4019
163	786	4009
164	789	3994
165	792	3983
166	795	3966
167	797	3950
168	801	3940
169	803	3924
170	806	3909
171	809	3897
172	812	3883
173	816	3876
174	819	3862
175	822	3850
176	825	3838
177	827	3822
178	830	3808
179	833	3795
180	835	3782
181	838	3768
182	841	3756
183	843	3741
184	846	3728
185	857	3752
186	859	3738
187	862	3724
188	866	3716
189	868	3702
190	871	3689
191	874	3678
192	876	3665
193	879	3654
194	882	3644
195	885	3631
196	888	3621
197	891	3611
198	895	3605
199	898	3594
200	901	3583
201	904	3571
202	906	3559
203	909	3547
204	913	3542
205	917	3534
206	919	3521
207	921	3509
208	924	3498
209	928	3491
210	931	3483
211	936	3479
212	938	3468
213	942	3462
214	946	3455
215	952	3455
216	957	3454
217	965	3463
218	968	3454
219	971	3442
220	975	3436
221	978	3428
222	981	3419
223	984	3410
224	986	3399
225	993	3401
226	996	3393
227	999	3382
228	1001	3371
229	1004	3362
230	1009	3360
231	1012	3352
232	1015	3341
233	1017	3330
234	1020	3321
235	1022	3311
236	1026	3303
